Account Number,Invoice Number,Invoice Date,Tracking Number,Pickup Number,Reference Number 1,Reference Number 2,Reference Number 3,Reference Number 4,Reference Number 5,Shipping System / Adjustment,Zone,Service Type,Published Charge,Incentives,Net Amount Due
0000005E5E,000000055581349,15 Nov 2022,,,,,,,,Discounts,,,,,
0000005E5E,000000055581349,15 Nov 2022,,,,,,,,Discounts,,,,,
0000005E5E,000000055581349,15 Nov 2022,,,,,,,,Discounts,,,,,
0000005E5E,000000055581349,15 Nov 2022,,,,,,,,VAT,,,,,£0.84
0000005E5E,000000055581349,15 Nov 2022,,,,,,,,Discounts,,,,,-£2.29
0000005E5E,000000055581349,15 Nov 2022,,,,,,,,Non-European Union Waybills,,,,,£145.85
0000005E5E,000000055581349,15 Nov 2022,,,,,,,,Total Non-Taxable Charges,,,,,£39.67
0000005E5E,000000055581349,15 Nov 2022,,,,,,,,Adjustments,,,,,£6.49
0000005E5E,000000055581349,15 Nov 2022,,,,,,,,Discounts,,,,,-£106.18
0000005E5E,000000055581349,15 Nov 2022,,,,,,,,Total Taxable Charges,,,,,£4.20
0000005E5E,000000055581349,15 Nov 2022,NOTRK000000108723,,,,,,,Adjustments,,SRV1000UNC,£4.20,£0.00,£4.20
0000005E5E,000000055581349,15 Nov 2022,NOTRK000000108722,,,,,,,Adjustments,,SRV1000UNC,£2.29,£2.29,£0.00
0000005E5E,000000055581349,15 Nov 2022,1Z005E5E0401647818,,,,,,,Non-European Union Waybills,005,WW Express Saver,£145.85,£106.18,£39.67
0000005E5E,000000055648001,22 Nov 2022,,,,,,,,Discounts,,,,,
0000005E5E,000000055648001,22 Nov 2022,,,,,,,,Discounts,,,,,
0000005E5E,000000055648001,22 Nov 2022,,,,,,,,Non-European Union Waybills,,,,,£284.84
0000005E5E,000000055648001,22 Nov 2022,,,,,,,,Discounts,,,,,-£207.36
0000005E5E,000000055648001,22 Nov 2022,,,,,,,,Total Non-Taxable Charges,,,,,£77.48
0000005E5E,000000055648001,22 Nov 2022,1Z005E5E0400689427,,,,,,,Non-European Union Waybills,005,WW Express Saver,£142.42,£103.68,£38.74
0000005E5E,000000055648001,22 Nov 2022,1Z005E5E0428717237,,,,,,,Non-European Union Waybills,005,WW Express Saver,£142.42,£103.68,£38.74
0000005E5E,000000056531085,14 Feb 2023,1Z005E5E0420677670,,,,,,,Non-European Union Waybills,005,WW Express Saver,£157.10,£114.39,£42.71
0000005E5E,000000056531085,14 Feb 2023,,,,,,,,Total Non-Taxable Charges,,,,,£128.13
0000005E5E,000000056531085,14 Feb 2023,,,,,,,,Non-European Union Waybills,,,,,£471.30
0000005E5E,000000056531085,14 Feb 2023,,,,,,,,Discounts,,,,,-£343.17
0000005E5E,000000056531085,14 Feb 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000056531085,14 Feb 2023,1Z005E5E0401930476,,,,,,,Non-European Union Waybills,005,WW Express Saver,£157.10,£114.39,£42.71
0000005E5E,000000056531085,14 Feb 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000056531085,14 Feb 2023,1Z005E5E0423065067,,,,,,,Non-European Union Waybills,005,WW Express Saver,£157.10,£114.39,£42.71
0000005E5E,000000057023305,28 Mar 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057023305,28 Mar 2023,,,,,,,,Non-European Union Waybills,,,,,£296.55
0000005E5E,000000057023305,28 Mar 2023,,,,,,,,Discounts,,,,,
0000005E5E,000000057023305,28 Mar 2023,1Z005E5E0437205282,,,,,,,Non-European Union Waybills,005,WW Express Saver,£149.13,£108.59,£40.54
0000005E5E,000000057023305,28 Mar 2023,,,,,,,,Discounts,,,,,-£215.93
0000005E5E,000000057023305,28 Mar 2023,,,,,,,,Total Non-Taxable Charges,,,,,£80.62
0000005E5E,000000057023305,28 Mar 2023,1Z005E5E0425147895,,,,,,,Non-European Union Waybills,005,WW Express Saver,£147.42,£107.34,£40.08
0000005E5E,000000055445918,01 Nov 2022,,,,,,,,Discounts,,,,,
0000005E5E,000000055445918,01 Nov 2022,,,,,,,,Discounts,,,,,
0000005E5E,000000055445918,01 Nov 2022,,,,,,,,Total Taxable Charges,,,,,£4.20
0000005E5E,000000055445918,01 Nov 2022,,,,,,,,Non-European Union Waybills,,,,,£170.92
0000005E5E,000000055445918,01 Nov 2022,,,,,,,,Discounts,,,,,-£124.20
0000005E5E,000000055445918,01 Nov 2022,,,,,,,,Total Non-Taxable Charges,,,,,£46.72
0000005E5E,000000055445918,01 Nov 2022,,,,,,,,VAT,,,,,£0.84
0000005E5E,000000055445918,01 Nov 2022,,,,,,,,Adjustments,,,,,£4.20
0000005E5E,000000055445918,01 Nov 2022,NOTRK000000113888,,,,,,,Adjustments,,SRV1000UNC,£4.20,£0.00,£4.20
0000005E5E,000000055445918,01 Nov 2022,1Z005E5E0421227010,,,,,,,Non-European Union Waybills,005,WW Express Saver,£170.92,£124.20,£46.72
0000005E5E,000000056027203,27 Dec 2022,,,,,,,,Non-European Union Waybills,,,,,£134.75
0000005E5E,000000056027203,27 Dec 2022,1Z005E5E0402531459,,,,,,,Non-European Union Waybills,005,WW Express Saver,£134.75,£98.09,£36.66
0000005E5E,000000056027203,27 Dec 2022,,,,,,,,Discounts,,,,,
0000005E5E,000000056027203,27 Dec 2022,,,,,,,,Discounts,,,,,
